Cohort ID,Predictors,Timing of Predictor Measurement,Outcome,Model specification,"Effect Size, performance and significance"
Gai 2022  Total Cohort,APACHE II score,Within 24h of ICU admission,28-day mortality,Univariate logistic regression (Model 1),"OR 1.449 (95% CI 1.208-1.738), p<0.001; AUC: 0.83 (95% CI 0.76-0.90)"
Gai 2022  Total Cohort,SOFA score,Within 24h of ICU admission,28-day mortality,Univariate logistic regression (Model 1),"OR 1.974 (95% CI 1.433-2.719), p<0.001; AUC: 0.83 (95% CI 0.76-0.90)"
Gai 2022  Total Cohort,Lactate,Within 24h of ICU admission,28-day mortality,Univariate logistic regression (Model 1),"OR 2.873 (95% CI 1.616-5.108), p<0.001; AUC: 0.78 (95% CI 0.70-0.86)"
Gai 2022  Total Cohort,EDV (End-Diastolic Velocity),Within 24h of ICU admission,28-day mortality,Univariate logistic regression (Model 1),"OR 0.219 (95% CI 0.111-0.432), p<0.001; AUC: 0.95 (95% CI 0.91-0.99)"
Gai 2022  Total Cohort,RI (Resistive Index),Within 24h of ICU admission,28-day mortality,Univariate logistic regression (Model 1),"OR <0.001 (95% CI 0.001-0.001), p<0.001; AUC: 0.85 (95% CI 0.78-0.92)"
Gai 2022  Total Cohort,PSV (Peak Systolic Velocity),Within 24h of ICU admission,28-day mortality,Multivariate logistic regression (Model 2),"OR 0.295 (95% CI 0.094-0.925), p=0.036; AUC: 0.99 (95% CI 0.97-1.00); Sensitivity: 0.99; Specificity: 0.96; PPV: 0.94; NPV: 0.98; Cut-off: 90.95"
"Seymour 2016 KPNC (Liu et al., 2013)    Overall cohort",qSOFA,Maximum score from 48h before to 24h after infection onset,In-Hospital Mortality,ROC for Logistic multivariable regression (qSOFA variables(respiratory rate + altered mentation + systolic blood pressure) + Age + Charlson comorbidity index + Race/ethinicity + Male),AUROC 0.78 (95%CI 0.78–0.78)
Seymour 2016 UPMC (Derivation cohort) ICU and non-ICU Derivation cohort,Respiratory rate (≥22/min),Assessed in window from 48h before to 24h after infection onset,In-Hospital Mortality,Logistic multivariable regression with all OR's (qSOFA variables: respiratory rate + altered mentation + systolic blood pressure),OR 3.18 (95%CI 2.89–3.50)
Seymour 2016 UPMC ICU Validation cohort,SOFA,Maximum score from 48h before to 24h after infection onset,In-Hospital Mortality,Univariate ROC,"AUROC 0.74 (95%CI 0.73–0.76); cut-off ≥2: sensitivity 98%, specificity 10%   "
Seymour 2016 UPMC ICU Validation cohort,SIRS,Maximum score from 48h before to 24h after infection onset,In-Hospital Mortality,Univariate ROC,"AUROC 0.64 (95%CI 0.62–0.66); cut-off ≥2: sensitivity 91%, specificity NA"
