Cohort ID,Papers,DOI,Encounters Period,Population Location,Data Sets,Detailed study design description,Population description,Cohort,Cohort size (n),Cohort characteristics,Cohort characteristics timepoint,Mortality Rate (%),Mortality timepoint
Gai 2022  Survivors,Gai 2022,10.1371/journal.pone.0273377,2019–2021,"Qinhuangdao, Hebei, China",,Prospective observational study,Adult patients (≥ 18 years) with Sepsis-3,Survivors,30,"Age: M 71.07 (SD 7.52); Male: 63.3%; APACHE II score: M 17.43 (SD 3.17); SOFA score: M 7.83 (SD 2.29); NEmax, ug/kg/min: M 0.26 (SD 0.08); Lactate, mmol/L: M 2.74 (SD 0.92); PSV, cm/s: M 100.8 (SD 7.10); EDV, cm/s: M 29.55 (SD 1.41); RI: M 0.71 (SD 0.02).",Within 24 hours of ICU admission,0%,In-ICU
Gai 2022  Total Cohort,Gai 2022,10.1371/journal.pone.0273377,2019–2021,"Qinhuangdao, Hebei, China",,Prospective observational study,Adult patients (≥ 18 years) with Sepsis-3,Total Cohort,72,NA,,58%,In-ICU
"Seymour 2016 ALERTS (Hagel et al., 2013)    Overall cohort",Seymour 2016,10.1001/jama.2016.0288,2011–2012,"Jena University Hospital, Germany   ","ALERTS (Hagel et al., 2013)   ",Retrospective cohort; Multiple imputation of missing data,Adults (≥18 years) with suspected infection (antibiotic administration + blood culture collection) admitted to the intensive care unit (ICU),Overall cohort,1186,,,18%,In-Hospital Mortality
"Seymour 2016 KPNC (Liu et al., 2013)    non-ICU",Seymour 2016,10.1001/jama.2016.0288,2009–2013,"20 hospitals, Northern California, US   ","KPNC (Liu et al., 2013)   ",Retrospective cohort; Multiple imputation of missing data,Adults (≥18 years) with suspected infection (antibiotic administration + blood culture collection) admitted to the intensive care unit (ICU),non-ICU,314349,,,5%,In-Hospital Mortality
"Seymour 2016 KPNC (Liu et al., 2013)    Overall cohort",Seymour 2016,10.1001/jama.2016.0288,2009–2013,"20 hospitals, Northern California, US   ","KPNC (Liu et al., 2013)   ",Retrospective cohort; Multiple imputation of missing data,Adults (≥18 years) with suspected infection (antibiotic administration + blood culture collection) admitted to the intensive care unit (ICU),Overall cohort,321380,,,5%,In-Hospital Mortality
Seymour 2016 UPMC (Derivation cohort) ICU and non-ICU Derivation cohort,Seymour 2016,10.1001/jama.2016.0288,2010–2012,"ICU and non-ICU encounters, Pennsylvania, US   ",UPMC (Derivation cohort),Retrospective cohort; Internal validation; Multiple imputation of missing data,Adults (≥18 years) with suspected infection (antibiotic administration + blood culture collection) admitted to the intensive care unit (ICU),ICU and non-ICU Derivation cohort,74453,"n 7836; Infection type: Presumed 7282 (93), Confirmed bacteremia 646 (8); Age, mean (SD), y 62 (17); Male, No. (%) 4192 (54); Race/ethnicity: White 5774 (74), Black 808 (10), Other 1254 (16); Weighted Charlson comorbidity index, median (IQR) 1 (0-2); Surgery prior to infection suspected, No. (%) 2153 (27); Onset of infection within 48 h of admission, No. (%) 6022 (77); Unit location at time infection suspected: ICU 7836 (100); SIRS near onset: Mean (SD) 2.5 (1.0), Median (IQR) 3 (2-3); SOFA near onset: Mean (SD) 6.3 (4.0), Median (IQR) 6 (3-9); LODS near onset: Mean (SD) 6.3 (3.9), Median (IQR) 6 (4-9); Serum lactate measured on day of infection, No. (%) 3187 (41); Serum lactate ≥2.0 mmol/L, No. (%) 1643 (21); ICU admission, No. (%) 7836 (100); Hospital length of stay, median (IQR), d 12 (7-20); Hospital mortality, No. (%) 1298 (17) 

and

n 66617; Infection type: Presumed 49 287 (74), Confirmed bacteremia 2780 (4); Age, mean (SD), y 61 (20); Male, No. (%) 27 418 (41); Race/ethnicity: White 50843 (76), Black 9552 (14), Other 6222 (9); Weighted Charlson comorbidity index, median (IQR) 1 (0-2); Surgery prior to infection suspected, No. (%) 6517 (10); Onset of infection within 48 h of admission, No. (%) 58 187 (87); Unit location at time infection suspected: Emergency department 32 902 (50), Ward 24787 (37), Postacute care unit or procedure unit 960 (1), Step-down unit 7855 (12), Other or missing data 113 (<1); SIRS near onset: Mean (SD) 1.2 (1.1), Median (IQR) 1 (0-2); SOFA near onset: Mean (SD) 1.4 (1.9), Median (IQR) 1 (0-2); LODS near onset: Mean (SD) 1.5 (2.1), Median (IQR) 1 (0-3); Serum lactate measured on day of infection, No. (%) 3611 (5); Serum lactate ≥2.0 mmol/L, No. (%) 1444 (2); ICU admission, No. (%) 10935 (16); Hospital length of stay, median (IQR), d 6 (3-9); Hospital mortality, No. (%) 1874 (3)","Baseline demographics and comorbidities: Collected from registration and historical record data.  
Severity scores: Calculated using the maximum value within the window from 48 hours before to 24 hours after the onset of suspected infection",4%,In-Hospital Mortality
Seymour 2016 UPMC ICU Validation cohort,Seymour 2016,10.1001/jama.2016.0288,2010–2012,"ICU encounters, Pennsylvania, US   ",UPMC,Retrospective cohort; Internal validation; Multiple imputation of missing data,Adults (≥18 years) with suspected infection (antibiotic administration + blood culture collection) admitted to the intensive care unit (ICU),ICU Validation cohort,7932,,,NA,In-Hospital Mortality
Wang 2023 MIMIC-III Training set,Wang 2023,10.1186/s12879-023-08636-8,2001–2012,"Beth Israel Deaconess Medical Center, Boston, MA, US",MIMIC-III,Retrospective cohort study; internal split into training (70%) and testing (30%) sets; multiple imputation for missing data.,"Adult patients (≥ 18 years) with sepsis (Sepsis-3 criteria) admitted to ICU for >24h, survival ≥ 1 day, complete myocardial enzyme data.",Training set,"1388 (according to the table, the sum of survivors and non-survivors is 1492)",Age: M 67.79 (SD 15.31); Male: 57.78%; Congestive heart failure: 46.44%; Atrial fibrillation: 42.16%; Elixhauser score: Me 24.0; ...,Within 24 hours of ICU admission,56.13%,1-year mortality
"Wang 2023 MIMIC-III Training set, Survival group",Wang 2023,10.1186/s12879-023-08636-8,2001–2012,"Beth Israel Deaconess Medical Center, Boston, MA, US",MIMIC-III,Retrospective cohort study; internal split into training (70%) and testing (30%) sets.,"Adult patients (≥ 18 years) with sepsis admitted to ICU for >24h, survival ≥ 1 day, complete myocardial enzyme data.","Training set, Survival group",668 in the table; 600 in the text,Age: M 64.06 (SD 16.12); Male: 54.67%; Married: 49.17%; White: 77.33%; Asian: 4.67%; Black: 12.00%; Hispanic: 6.00%; CCU: 8.83%; CSRU: 3.00%; MICU: 70.17%; SICU/TSICU: 18.00%; ...,Within 24 hours of ICU admission,0,1-year mortality
Zhang 2021 MIMIC-IV Development set,Zhang 2021,10.3389/fmed.2020.609769,2008–2019,"Beth Israel Deaconess Medical Center, Boston, MA, US",MIMIC-IV,Retrospective cohort study; development and validation of SMRS,Adult patients (≥ 18 years) with Sepsis-3 in ICU,Development set,5443,Age: M 65.3 (SD 16.2); Male: 55.9% (Female: 44.1%); Admission type (Emergency): 92.9%; Congestive heart failure: 17.6%; Renal failure: 13.9%; Mechanical ventilation: 48.4%; RRT: 7.3%; SAPS II: Me 39.0 (IQR 30.0–51.0); APS III: Me 48.0 (IQR 36.0–62.0); OASIS: Me 35.0 (IQR 29.0–41.0); LODS: Me 5.0 (IQR 3.0–8.0); SOFA: Me 5.0 (IQR 3.0–8.0); SIRS: Me 3.0 (IQR 2.0–4.0); qSOFA: Me 2.0 (IQR 2.0–2.0); Elixhauser score: Me 13.0 (IQR 5.0–23.0).,Within 24 hours of ICU admission,13.7%,30-day mortality
